date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week
16/01/2018 21:30,5.47,0,26.5,0,100,20.22,77400,Weekday,Tuesday
17/01/2018 00:00,36.9,27.29,0,0.02,80.4,100,0,Weekday,Wednesday
17/01/2018 04:30,4.64,4.5,0,0,71.79,100,16200,Weekday,Wednesday
17/01/2018 11:00,76.97,32.44,0,0.04,92.15,100,39600,Weekday,Wednesday
17/01/2018 11:15,61.56,35.42,0,0.03,86.68,100,40500,Weekday,Wednesday
17/01/2018 14:00,80.75,35.5,0,0.04,91.54,100,50400,Weekday,Wednesday
17/01/2018 21:15,38.56,0.9,2.48,0.02,99.97,99.79,76500,Weekday,Wednesday
17/01/2018 23:00,34.88,24.66,0,0.02,81.65,100,82800,Weekday,Wednesday
17/01/2018 23:45,40.25,30.46,0,0.02,79.74,100,85500,Weekday,Wednesday
18/01/2018 02:30,40.46,32.04,0,0.02,78.4,100,9000,Weekday,Thursday
18/01/2018 07:30,40.1,29.74,0,0.02,80.32,100,27000,Weekday,Thursday
18/01/2018 14:00,102.85,34.27,0,0.05,94.87,100,50400,Weekday,Thursday
18/01/2018 17:00,120.02,39.92,0,0.06,94.89,100,61200,Weekday,Thursday
18/01/2018 19:00,135.94,54.72,0,0.06,92.77,100,68400,Weekday,Thursday
18/01/2018 20:00,114.66,47.41,0,0.05,92.41,100,72000,Weekday,Thursday
18/01/2018 23:30,53.57,32.18,0,0.02,85.72,100,84600,Weekday,Thursday
19/01/2018 03:00,69.16,37.15,0,0.03,88.09,100,10800,Weekday,Friday
19/01/2018 10:00,88.85,32.29,0,0.04,93.99,100,36000,Weekday,Friday
19/01/2018 10:15,93.64,33.34,0,0.04,94.21,100,36900,Weekday,Friday
19/01/2018 10:45,102.85,35.46,0,0.05,94.54,100,38700,Weekday,Friday
19/01/2018 15:45,105.8,46.3,0,0.05,91.61,100,56700,Weekday,Friday
19/01/2018 17:45,35.68,0.36,8.42,0.02,99.99,97.33,63900,Weekday,Friday
19/01/2018 18:00,32.94,0,9.04,0.02,100,96.43,64800,Weekday,Friday
19/01/2018 19:00,108.79,37.55,0,0.05,94.53,100,68400,Weekday,Friday
19/01/2018 23:45,30.6,23.11,0,0.01,79.8,100,85500,Weekday,Friday
20/01/2018 00:00,39.28,30.1,0,0.02,79.37,100,0,Weekend,Saturday
20/01/2018 01:00,77.15,38.66,0,0.04,89.4,100,3600,Weekend,Saturday
20/01/2018 03:00,59.8,34.45,0,0.03,86.65,100,10800,Weekend,Saturday
20/01/2018 06:15,92.66,44.21,0,0.04,90.25,100,22500,Weekend,Saturday
20/01/2018 07:30,39.49,28.44,0,0.02,81.15,100,27000,Weekend,Saturday
20/01/2018 10:15,54.18,11.95,0,0.02,97.65,100,36900,Weekend,Saturday
20/01/2018 11:15,51.52,26.75,0,0.02,88.75,100,40500,Weekend,Saturday
21/01/2018 02:00,40.93,31.36,0,0.02,79.38,100,7200,Weekend,Sunday
21/01/2018 02:15,37.48,28.8,0,0.02,79.29,100,8100,Weekend,Sunday
21/01/2018 02:30,34.92,26.14,0,0.02,80.05,100,9000,Weekend,Sunday
21/01/2018 02:45,40.03,30.24,0,0.02,79.79,100,9900,Weekend,Sunday
21/01/2018 04:00,38.2,28.87,0,0.02,79.78,100,14400,Weekend,Sunday
21/01/2018 16:45,5.08,0,25.7,0,100,19.39,60300,Weekend,Sunday
21/01/2018 19:00,4.97,0,27,0,100,18.1,68400,Weekend,Sunday
21/01/2018 20:15,4.46,0,21.92,0,100,19.94,72900,Weekend,Sunday
22/01/2018 05:00,4.43,4.1,0,0,73.39,100,18000,Weekday,Monday
22/01/2018 10:45,88.09,41.83,0,0.04,90.33,100,38700,Weekday,Monday
22/01/2018 16:15,63.5,25.81,0,0.03,92.64,100,58500,Weekday,Monday
22/01/2018 23:45,38.56,28.69,0,0.02,80.23,100,85500,Weekday,Monday
23/01/2018 05:15,39.56,29.2,0,0.02,80.46,100,18900,Weekday,Tuesday
23/01/2018 07:15,39.49,29.02,0,0.02,80.58,100,26100,Weekday,Tuesday
23/01/2018 09:00,86.47,42.26,0,0.04,89.84,100,32400,Weekday,Tuesday
23/01/2018 10:00,66.06,22.1,0,0.03,94.83,100,36000,Weekday,Tuesday
23/01/2018 11:45,65.2,41.36,0,0.03,84.44,100,42300,Weekday,Tuesday
23/01/2018 12:15,20.41,8.53,18.72,0.01,92.27,73.7,44100,Weekday,Tuesday
23/01/2018 12:30,10.76,0,24.98,0,100,39.56,45000,Weekday,Tuesday
23/01/2018 15:00,71.39,28.15,0,0.03,93.03,100,54000,Weekday,Tuesday
23/01/2018 16:15,72.5,29.38,0,0.03,92.68,100,58500,Weekday,Tuesday
23/01/2018 18:45,83.56,42.95,0,0.04,88.94,100,67500,Weekday,Tuesday
24/01/2018 09:15,79.27,35.89,0,0.04,91.1,100,33300,Weekday,Wednesday
24/01/2018 10:45,62.82,15.7,0,0.03,97.02,100,38700,Weekday,Wednesday
24/01/2018 11:00,61.31,18.94,0,0.03,95.54,100,39600,Weekday,Wednesday
24/01/2018 14:00,97.34,44.75,0,0.04,90.86,100,50400,Weekday,Wednesday
24/01/2018 15:45,83.66,41.18,0,0.04,89.72,100,56700,Weekday,Wednesday
24/01/2018 18:15,30.02,4.1,0.9,0.01,99.08,99.96,65700,Weekday,Wednesday
24/01/2018 21:45,36.4,0.25,4.9,0.02,100,99.11,78300,Weekday,Wednesday
24/01/2018 22:00,38.2,0.65,3.42,0.02,99.99,99.6,79200,Weekday,Wednesday
24/01/2018 22:15,39.2,11.2,0.36,0.02,96.15,100,80100,Weekday,Wednesday
25/01/2018 05:15,40.68,29.63,0,0.02,80.83,100,18900,Weekday,Thursday
25/01/2018 05:30,37.33,26.39,0,0.02,81.66,100,19800,Weekday,Thursday
25/01/2018 07:00,38.34,27.68,0,0.02,81.08,100,25200,Weekday,Thursday
25/01/2018 17:15,74.7,26.93,0,0.03,94.07,100,62100,Weekday,Thursday
26/01/2018 02:15,30.28,23.69,0,0.01,78.76,100,8100,Weekday,Friday
26/01/2018 17:30,120.13,26.78,0,0.06,97.6,100,63000,Weekday,Friday
26/01/2018 17:45,104,19.62,0,0.05,98.27,100,63900,Weekday,Friday
27/01/2018 03:30,5.94,4.21,0,0,81.59,100,12600,Weekend,Saturday
27/01/2018 04:00,5.87,4.57,0,0,78.91,100,14400,Weekend,Saturday
27/01/2018 05:45,5.98,5,0,0,76.72,100,20700,Weekend,Saturday
27/01/2018 07:00,6.52,4.93,0,0,79.76,100,25200,Weekend,Saturday
27/01/2018 15:15,32.15,1.84,4.28,0.01,99.84,99.13,54900,Weekend,Saturday
27/01/2018 17:00,7.42,0,25.49,0,100,27.95,61200,Weekend,Saturday
27/01/2018 17:15,6.77,0,25.56,0,100,25.6,62100,Weekend,Saturday
27/01/2018 18:45,6.26,0,22.28,0,100,27.05,67500,Weekend,Saturday
28/01/2018 01:30,4.86,6.3,0,0,61.08,100,5400,Weekend,Sunday
28/01/2018 01:45,4.36,5,0,0,65.72,100,6300,Weekend,Sunday
28/01/2018 02:00,4.18,4.39,0,0,68.96,100,7200,Weekend,Sunday
28/01/2018 07:15,4.9,7.02,0,0,57.24,100,26100,Weekend,Sunday
28/01/2018 09:00,11.05,0,17.21,0.01,100,54.03,32400,Weekend,Sunday
28/01/2018 11:45,28.22,9.25,0,0.01,95.03,100,42300,Weekend,Sunday
28/01/2018 13:15,6.41,0,24.12,0,100,25.68,47700,Weekend,Sunday
28/01/2018 14:00,28.51,0.04,8.71,0.01,100,95.64,50400,Weekend,Sunday
28/01/2018 15:30,30.1,0.94,2.66,0.01,99.95,99.61,55800,Weekend,Sunday
28/01/2018 16:00,30.78,1.26,2.38,0.01,99.92,99.7,57600,Weekend,Sunday
28/01/2018 20:45,6.34,0,26.75,0,100,23.06,74700,Weekend,Sunday
29/01/2018 07:30,4.72,4.68,0,0,71.01,100,27000,Weekday,Monday
29/01/2018 12:45,10.37,0,24.84,0,100,38.52,45900,Weekday,Monday
29/01/2018 14:45,97.27,32.29,0,0.04,94.91,100,53100,Weekday,Monday
29/01/2018 15:30,71.93,16.78,0,0.03,97.39,100,55800,Weekday,Monday
30/01/2018 01:30,23.51,19.98,0,0.01,76.2,100,5400,Weekday,Tuesday
30/01/2018 03:15,5.83,5.72,0,0,71.38,100,11700,Weekday,Tuesday
30/01/2018 06:00,4,3.89,0,0,71.69,100,21600,Weekday,Tuesday
30/01/2018 10:30,114.26,49.07,0,0.05,91.88,100,37800,Weekday,Tuesday
30/01/2018 14:15,59.22,17.64,0,0.03,95.84,100,51300,Weekday,Tuesday
30/01/2018 16:30,68.36,25.92,0,0.03,93.5,100,59400,Weekday,Tuesday
30/01/2018 18:15,55.26,27.04,0.36,0.03,89.82,100,65700,Weekday,Tuesday
30/01/2018 20:45,122.26,40.18,0,0.06,95,100,74700,Weekday,Tuesday
30/01/2018 23:30,97.31,46.48,0,0.04,90.23,100,84600,Weekday,Tuesday
31/01/2018 04:00,5.83,5.29,0,0,74.06,100,14400,Weekday,Wednesday
31/01/2018 06:15,4.03,4,0,0,70.97,100,22500,Weekday,Wednesday
31/01/2018 11:45,121.28,53.06,0,0.06,91.62,100,42300,Weekday,Wednesday
31/01/2018 13:00,8.89,0,25.16,0,100,33.32,46800,Weekday,Wednesday
01/02/2018 04:45,5.11,5.8,0,0,66.11,100,17100,Weekday,Thursday
01/02/2018 21:00,83.2,17.89,0.32,0.04,97.77,100,75600,Weekday,Thursday
01/02/2018 22:45,72.07,41.36,0,0.03,86.73,100,81900,Weekday,Thursday
02/02/2018 02:30,6.37,5.22,0,0,77.35,100,9000,Weekday,Friday
02/02/2018 07:30,5.26,5.04,0,0,72.2,100,27000,Weekday,Friday
02/02/2018 12:45,9.68,0,25.34,0,100,35.69,45900,Weekday,Friday
02/02/2018 15:15,55.62,11.66,0,0.03,97.87,100,54900,Weekday,Friday
02/02/2018 17:45,91.69,14.98,0,0.04,98.69,100,63900,Weekday,Friday
02/02/2018 20:30,37.33,0.18,4.57,0.02,100,99.26,73800,Weekday,Friday
02/02/2018 22:45,41.33,30.13,0,0.02,80.81,100,81900,Weekday,Friday
03/02/2018 01:30,30.35,19.58,0,0.01,84.03,100,5400,Weekend,Saturday
03/02/2018 02:30,6.12,5,0,0,77.44,100,9000,Weekend,Saturday
03/02/2018 15:15,39.53,1.33,1.4,0.02,99.94,99.94,54900,Weekend,Saturday
04/02/2018 02:45,5.9,6.01,0,0,70.05,100,9900,Weekend,Sunday
04/02/2018 06:00,5.94,5.94,0,0,70.71,100,21600,Weekend,Sunday
04/02/2018 09:00,4.07,0,13.54,0,100,28.79,32400,Weekend,Sunday
04/02/2018 10:15,4.21,0,17.06,0,100,23.96,36900,Weekend,Sunday
04/02/2018 11:15,4.03,0,6.05,0,100,55.44,40500,Weekend,Sunday
04/02/2018 17:30,4.18,0,17.03,0,100,23.84,63000,Weekend,Sunday
04/02/2018 22:00,4.86,0,25.42,0,100,18.78,79200,Weekend,Sunday
05/02/2018 00:45,4.57,5.11,0,0,66.66,100,2700,Weekday,Monday
05/02/2018 01:00,5.65,5.29,0,0,73,100,3600,Weekday,Monday
05/02/2018 03:00,4.57,4.72,0,0,69.56,100,10800,Weekday,Monday
05/02/2018 05:15,3.82,3.56,0,0,73.16,100,18900,Weekday,Monday
05/02/2018 08:00,7.2,4.39,0,0,85.38,100,28800,Weekday,Monday
05/02/2018 17:00,100.66,39.71,0,0.05,93.02,100,61200,Weekday,Monday
05/02/2018 17:30,89.42,21.64,0,0.04,97.19,100,63000,Weekday,Monday
05/02/2018 23:00,42.19,30.67,0,0.02,80.89,100,82800,Weekday,Monday
06/02/2018 01:00,70.63,38.3,0,0.03,87.91,100,3600,Weekday,Tuesday
06/02/2018 15:00,75.13,26.96,0,0.03,94.12,100,54000,Weekday,Tuesday
06/02/2018 15:15,67.57,23.98,0,0.03,94.24,100,54900,Weekday,Tuesday
07/02/2018 00:15,41.72,30.89,0,0.02,80.37,100,900,Weekday,Wednesday
07/02/2018 00:45,40.46,29.88,0,0.02,80.44,100,2700,Weekday,Wednesday
07/02/2018 02:15,5.9,5.29,0,0,74.45,100,8100,Weekday,Wednesday
08/02/2018 05:15,4.93,6.52,0,0,60.31,100,18900,Weekday,Thursday
08/02/2018 07:15,5.29,5.98,0,0,66.26,100,26100,Weekday,Thursday
08/02/2018 08:00,8.14,4.86,0,0,85.86,100,28800,Weekday,Thursday
08/02/2018 10:15,74.3,26.53,0,0.03,94.18,100,36900,Weekday,Thursday
08/02/2018 16:15,105.55,33.05,0,0.05,95.43,100,58500,Weekday,Thursday
08/02/2018 17:45,59.11,14.22,0,0.03,97.23,100,63900,Weekday,Thursday
08/02/2018 21:00,100.84,25.06,0.07,0.05,97.05,100,75600,Weekday,Thursday
08/02/2018 21:30,48.31,1.84,2.27,0.02,99.93,99.89,77400,Weekday,Thursday
09/02/2018 05:15,4.75,5.18,0,0,67.59,100,18900,Weekday,Friday
09/02/2018 07:00,4.28,4.54,0,0,68.6,100,25200,Weekday,Friday
09/02/2018 10:15,80.82,35.89,0,0.04,91.39,100,36900,Weekday,Friday
09/02/2018 12:30,8.14,0,25.92,0,100,29.96,45000,Weekday,Friday
09/02/2018 13:15,42.08,5.8,6.95,0.02,99.06,98.66,47700,Weekday,Friday
09/02/2018 16:15,88.16,36.79,0,0.04,92.29,100,58500,Weekday,Friday
09/02/2018 17:30,61.96,20.3,0,0.03,95.03,100,63000,Weekday,Friday
09/02/2018 19:15,39.42,0.68,1.8,0.02,99.99,99.9,69300,Weekday,Friday
09/02/2018 19:45,78.01,11.88,0.07,0.04,98.86,100,71100,Weekday,Friday
09/02/2018 21:15,85.43,19.98,0.29,0.04,97.37,100,76500,Weekday,Friday
09/02/2018 22:30,64.66,41.51,0,0.03,84.15,100,81000,Weekday,Friday
09/02/2018 23:00,57.13,36.94,0,0.03,83.97,100,82800,Weekday,Friday
09/02/2018 23:30,107.82,58.14,0,0.05,88.02,100,84600,Weekday,Friday
10/02/2018 00:45,104.72,56.92,0,0.05,87.86,100,2700,Weekend,Saturday
10/02/2018 09:45,4.5,0,26.68,0,100,16.63,35100,Weekend,Saturday
10/02/2018 10:45,4.46,0,27.14,0,100,16.22,38700,Weekend,Saturday
10/02/2018 15:30,4.57,0,26.5,0,100,16.99,55800,Weekend,Saturday
10/02/2018 22:15,4.64,1.76,15.34,0,93.5,28.95,80100,Weekend,Saturday
11/02/2018 01:45,3.78,3.67,0,0,71.75,100,6300,Weekend,Sunday
11/02/2018 02:15,4.07,4.18,0,0,69.76,100,8100,Weekend,Sunday
11/02/2018 12:45,4.21,0,17.78,0,100,23.04,45900,Weekend,Sunday
11/02/2018 15:45,4.28,0,19.87,0,100,21.06,56700,Weekend,Sunday
11/02/2018 16:15,4.79,0,25.99,0,100,18.12,58500,Weekend,Sunday
11/02/2018 18:15,4.46,0,8.57,0,100,46.16,65700,Weekend,Sunday
11/02/2018 18:45,4.68,0,18.79,0,100,24.17,67500,Weekend,Sunday
11/02/2018 19:15,4.43,0,20.88,0,100,20.75,69300,Weekend,Sunday
12/02/2018 03:30,4.28,4.43,0,0,69.48,100,12600,Weekday,Monday
12/02/2018 08:15,34.45,23.36,0,0.02,82.77,100,29700,Weekday,Monday
12/02/2018 16:00,69.66,21.49,0.07,0.03,95.56,100,57600,Weekday,Monday
12/02/2018 18:30,36.94,11.27,0,0.02,95.65,100,66600,Weekday,Monday
12/02/2018 21:15,34.96,0,7.96,0.02,100,97.5,76500,Weekday,Monday
12/02/2018 22:45,33.37,23.76,0,0.02,81.46,100,81900,Weekday,Monday
13/02/2018 11:15,95.44,44.21,0,0.04,90.74,100,40500,Weekday,Tuesday
13/02/2018 13:45,94.57,23.51,0,0.04,97.05,100,49500,Weekday,Tuesday
13/02/2018 18:45,90.86,14.9,0.11,0.04,98.68,100,67500,Weekday,Tuesday
13/02/2018 19:15,49.21,1.15,3.53,0.02,99.97,99.74,69300,Weekday,Tuesday
13/02/2018 20:30,95.98,12.92,0,0.04,99.11,100,73800,Weekday,Tuesday
14/02/2018 03:30,5.15,5.29,0,0,69.76,100,12600,Weekday,Wednesday
14/02/2018 12:45,3.67,0,19.84,0,100,18.19,45900,Weekday,Wednesday
14/02/2018 21:00,4.36,0,25.42,0,100,16.9,75600,Weekday,Wednesday
15/02/2018 00:15,3.17,3.96,0,0,62.49,100,900,Weekday,Thursday
15/02/2018 01:30,3.35,4.72,0,0,57.88,100,5400,Weekday,Thursday
15/02/2018 13:30,4.14,0,26.64,0,100,15.36,48600,Weekday,Thursday
15/02/2018 16:00,4.75,0,26.32,0,100,17.76,57600,Weekday,Thursday
15/02/2018 16:45,3.35,0,17.21,0,100,19.11,60300,Weekday,Thursday
15/02/2018 19:30,4,0,24.44,0,100,16.15,70200,Weekday,Thursday
16/02/2018 03:15,3.13,3.38,0,0,67.95,100,11700,Weekday,Friday
16/02/2018 05:15,3.06,3.24,0,0,68.66,100,18900,Weekday,Friday
16/02/2018 06:30,3.06,3.1,0,0,70.25,100,23400,Weekday,Friday
16/02/2018 14:15,3.85,0,22.07,0,100,17.18,51300,Weekday,Friday
16/02/2018 15:45,4,0,22.54,0,100,17.47,56700,Weekday,Friday
16/02/2018 16:45,4,0,23.62,0,100,16.7,60300,Weekday,Friday
16/02/2018 21:30,3.71,0,22.54,0,100,16.24,77400,Weekday,Friday
17/02/2018 03:15,3.17,4.03,0,0,61.83,100,11700,Weekend,Saturday
17/02/2018 05:45,3.17,3.85,0,0,63.56,100,20700,Weekend,Saturday
17/02/2018 09:45,3.53,0,16.6,0,100,20.8,35100,Weekend,Saturday
17/02/2018 10:00,3.49,0,16.63,0,100,20.54,36000,Weekend,Saturday
17/02/2018 16:45,4.21,0,25.09,0,100,16.55,60300,Weekend,Saturday
17/02/2018 20:45,4.21,0,25.31,0,100,16.41,74700,Weekend,Saturday
18/02/2018 03:45,3.13,3.85,0,0,63.08,100,13500,Weekend,Sunday
18/02/2018 04:45,3.17,3.78,0,0,64.26,100,17100,Weekend,Sunday
18/02/2018 11:45,3.85,0,6.95,0,100,48.46,42300,Weekend,Sunday
18/02/2018 12:15,3.85,0,16.85,0,100,22.27,44100,Weekend,Sunday
18/02/2018 18:30,3.38,0,4.28,0,100,61.98,66600,Weekend,Sunday
19/02/2018 01:30,3.38,5.15,0,0,54.87,100,5400,Weekday,Monday
19/02/2018 02:45,4,7.13,0,0,48.93,100,9900,Weekday,Monday
19/02/2018 06:15,3.2,4.39,0,0,58.9,100,22500,Weekday,Monday
19/02/2018 07:30,5,6.01,0,0,63.96,100,27000,Weekday,Monday
19/02/2018 09:15,62.1,18.94,0,0.03,95.65,100,33300,Weekday,Monday
19/02/2018 09:45,59.54,16.27,0,0.03,96.46,100,35100,Weekday,Monday
19/02/2018 11:30,61.49,33.84,0,0.03,87.61,100,41400,Weekday,Monday
19/02/2018 12:30,7.31,0,25.67,0,100,27.39,45000,Weekday,Monday
19/02/2018 15:00,59.51,24.23,0,0.03,92.62,100,54000,Weekday,Monday
19/02/2018 20:00,100.98,33.84,0,0.05,94.82,100,72000,Weekday,Monday
19/02/2018 21:30,56.59,6.05,0.9,0.03,99.43,99.99,77400,Weekday,Monday
20/02/2018 09:30,84.17,36.32,0,0.04,91.82,100,34200,Weekday,Tuesday
20/02/2018 10:45,116.53,32.29,0,0.05,96.37,100,38700,Weekday,Tuesday
20/02/2018 19:00,92.63,25.96,0,0.04,96.29,100,68400,Weekday,Tuesday
20/02/2018 23:15,98.35,48.06,0,0.05,89.85,100,83700,Weekday,Tuesday
21/02/2018 01:45,6.01,5.33,0,0,74.82,100,6300,Weekday,Wednesday
21/02/2018 03:45,5.22,5.58,0,0,68.32,100,13500,Weekday,Wednesday
21/02/2018 05:30,3.92,3.53,0,0,74.31,100,19800,Weekday,Wednesday
21/02/2018 06:15,4.28,4.18,0,0,71.54,100,22500,Weekday,Wednesday
21/02/2018 13:45,66.2,29.38,0,0.03,91.4,100,49500,Weekday,Wednesday
22/02/2018 02:45,5.98,5.44,0,0,73.97,100,9900,Weekday,Thursday
22/02/2018 04:00,5.94,5.22,0,0,75.12,100,14400,Weekday,Thursday
22/02/2018 09:00,140.29,67.93,0,0.06,90,100,32400,Weekday,Thursday
22/02/2018 10:30,121.93,48.67,0,0.06,92.87,100,37800,Weekday,Thursday
22/02/2018 12:45,8.57,0,24.8,0,100,32.66,45900,Weekday,Thursday
22/02/2018 14:30,68.94,25.13,0,0.03,93.95,100,52200,Weekday,Thursday
22/02/2018 21:00,100.87,36.5,0,0.05,94.03,100,75600,Weekday,Thursday
22/02/2018 23:15,48.38,31.54,0,0.02,83.77,100,83700,Weekday,Thursday
23/02/2018 05:30,4.5,5.9,0,0,60.64,100,19800,Weekday,Friday
23/02/2018 05:45,4.03,4.72,0,0,64.93,100,20700,Weekday,Friday
